time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/n_updates
9003,47104,-0.80406436,23,72.0,5,-0.1298176646232605,-5.927098029851914,0.0033843488856291513,-1.1920928955078125e-07,0.2,0.03053304,0.0003,0.43330078125,-0.04735662430612138,2180
9405,49152,-0.79748533,24,72.0,5,-0.11620834469795227,-5.945382593572139,0.005103441586834378,0.0,0.2,0.029924724,0.0003,0.4369140625,-0.04832980480277911,2190
9812,51200,-0.7989451599999999,25,72.0,5,-0.10981184244155884,-6.0659694716334345,0.003465082096408878,-1.1920928955078125e-07,0.2,0.03416612,0.0003,0.451611328125,-0.0516745234868722,2200
10218,53248,-0.8002202199999999,26,72.0,5,-0.13460145890712738,-5.927003322541713,0.003258705941516382,0.0,0.2,0.033363625,0.0003,0.45283203125,-0.05063008020078996,2210
10636,55296,-0.7990317400000001,27,72.0,5,-0.10790876299142838,-5.982571268081665,0.0043918108691286765,0.0,0.2,0.029325943,0.0003,0.41787109375,-0.04500531157536898,2220
11035,57344,-0.7925449099999998,28,72.0,5,-0.09103287756443024,-6.0376936316490175,0.003895205516164424,5.960464477539063e-08,0.2,0.03057354,0.0003,0.43701171875,-0.045475291648472194,2230
11452,59392,-0.7851933800000002,29,72.0,5,-0.12986958026885986,-5.951589061319828,0.0037526909254665952,5.960464477539063e-08,0.2,0.030735765,0.0003,0.438818359375,-0.05464579583494924,2240
11848,61440,-0.7758754,30,72.0,5,-0.12349142879247665,-5.968742488324642,0.0032870047327378414,0.0,0.2,0.02703417,0.0003,0.382421875,-0.041896921013540124,2250
12283,63488,-0.7769738299999999,31,72.0,5,-0.1106746718287468,-5.932259620726109,0.003811712248716503,0.0,0.2,0.027620453,0.0003,0.427392578125,-0.04646620823696139,2260
12734,65536,-0.7805095699999999,32,72.0,5,-0.13756553828716278,-5.969862230122089,0.003302156879362883,-1.1920928955078125e-07,0.2,0.02956579,0.0003,0.40078125,-0.04442091132514179,2270
13180,67584,-0.7813027600000001,33,72.0,5,-0.10947371274232864,-5.970014633238316,0.004169138513316284,0.0,0.2,0.031001337,0.0003,0.435546875,-0.0497308472316945,2280
13621,69632,-0.77997885,34,72.0,5,-0.09898502379655838,-5.920225498080254,0.003988933226719382,-1.1920928955078125e-07,0.2,0.031674214,0.0003,0.38671875,-0.04521628207876347,2290
14070,71680,-0.7627274100000001,35,72.0,5,-0.09726622700691223,-5.77293686568737,0.004320249502598017,0.0,0.2,0.029915547,0.0003,0.410888671875,-0.0436139192453993,2300
14525,73728,-0.77282231,36,72.0,5,-0.11558976024389267,-5.890824346244335,0.003573691078236152,5.960464477539063e-08,0.2,0.029729862,0.0003,0.410498046875,-0.03971510164847132,2310
14974,75776,-0.7809654599999999,37,72.0,5,-0.12475839257240295,-6.07078767567873,0.0038019192646970624,0.0,0.2,0.031193778,0.0003,0.421240234375,-0.0440094261764898,2320
15420,77824,-0.7826754600000001,38,72.0,5,-0.10936202108860016,-5.999694536626339,0.0037186435281910237,0.0,0.2,0.034041815,0.0003,0.46142578125,-0.05516572012857068,2330
15869,79872,-0.77641302,39,72.0,5,-0.12906014919281006,-6.053617519140244,0.00367458509390417,0.0,0.2,0.03253656,0.0003,0.439013671875,-0.05014946617302485,2340
16329,81920,-0.77637694,40,72.0,5,-0.09146972000598907,-6.030054830014706,0.003418140360918187,-1.1920928955078125e-07,0.2,0.03224694,0.0003,0.46845703125,-0.04773997464799322,2350
16792,83968,-0.76821367,41,72.0,5,-0.1040748655796051,-6.0099087983369825,0.003278409636914148,0.0,0.2,0.031209532,0.0003,0.440771484375,-0.045090879805502485,2360
17267,86016,-0.78227237,42,72.0,4,-0.08541027456521988,-6.042258279025555,0.003321240492914512,0.0,0.2,0.0336861,0.0003,0.454150390625,-0.0518085983232595,2370
17743,88064,-0.80135212,43,72.0,4,-0.09445758908987045,-6.150247405469417,0.005020420386063052,0.0,0.2,0.028781049,0.0003,0.43056640625,-0.04948527136293705,2380
18204,90112,-0.8180235299999998,44,72.0,4,-0.09418808668851852,-6.200759549438954,0.0044444861905503785,1.1920928955078125e-07,0.2,0.030207407,0.0003,0.42080078125,-0.04677985015441664,2390
18596,92160,-0.82943645,45,72.0,4,-0.11538281291723251,-6.2383288368582726,0.0038261339937889715,-1.1920928955078125e-07,0.2,0.029899782,0.0003,0.45546875,-0.0493621365778381,2400
18992,94208,-0.84425897,46,72.0,4,-0.13039039075374603,-6.12924901843071,0.005217178580278414,0.0,0.2,0.03233946,0.0003,0.460693359375,-0.05673517917166464,2410
19381,96256,-0.8358627099999998,47,72.0,4,-0.13574858009815216,-6.229894582927227,0.005854676782473689,0.0,0.2,0.03345581,0.0003,0.425048828125,-0.049353724432876334,2420
19775,98304,-0.8537795800000002,48,72.0,4,-0.13191165030002594,-6.237371446192265,0.00412027340480563,1.1920928955078125e-07,0.2,0.03028109,0.0003,0.46005859375,-0.05318383509293199,2430
20160,100352,-0.8231291700000001,49,72.0,4,-0.10115505754947662,-6.143528293073177,0.004746162649098551,1.7881393432617188e-07,0.2,0.030859113,0.0003,0.446337890625,-0.056351510721287926,2440
