train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes
0.0003,0.00024471309734508395,0.43182265758514404,68116,11520,-0.63504229,3443,3,72.0,160
0.0003,0.00029582157731056213,0.4271126985549927,68404,11808,-0.63449864,3537,3,72.0,164
0.0003,0.0005735541926696897,0.421139657497406,68692,12096,-0.63320667,3618,3,72.0,168
0.0003,0.00045637687435373664,0.4377303421497345,68980,12384,-0.63162274,3715,3,72.0,172
0.0003,0.0005912732449360192,0.4328935742378235,69268,12672,-0.63065789,3808,3,72.0,176
0.0003,0.00025535179884172976,0.42042869329452515,69556,12960,-0.6285618500000001,3890,3,72.0,180
0.0003,0.0003002122393809259,0.43740975856781006,69844,13248,-0.62965612,3969,3,72.0,184
0.0003,0.0002642884210217744,0.4302261471748352,70132,13536,-0.6287392,4051,3,72.0,188
0.0003,0.00018337111396249384,0.42527514696121216,70420,13824,-0.6296965499999999,4129,3,72.0,192
0.0003,0.00031975837191566825,0.43530529737472534,70708,14112,-0.62964084,4204,3,72.0,196
0.0003,0.0007631579646840692,0.43878647685050964,70996,14400,-0.63031486,4280,3,72.0,200
0.0003,0.0002225228672614321,0.436027467250824,71284,14688,-0.6260030400000001,4365,3,72.0,204
0.0003,0.0004247749748174101,0.43434852361679077,71572,14976,-0.6260551400000001,4451,3,72.0,208
0.0003,0.0005433780024759471,0.437761127948761,71860,15264,-0.6253185,4536,3,72.0,212
0.0003,0.0002590437652543187,0.4461576044559479,72148,15552,-0.62547556,4626,3,72.0,216
0.0003,0.0002412555186310783,0.4380735754966736,72436,15840,-0.62369258,4710,3,72.0,220
0.0003,0.00032263959292322397,0.44318294525146484,72724,16128,-0.61622816,4791,3,72.0,224
0.0003,0.00027924872119911015,0.4439953565597534,73012,16416,-0.61673995,4873,3,72.0,228
0.0003,0.00019528268603608012,0.4395543038845062,73300,16704,-0.6123193600000001,4965,3,72.0,232
0.0003,0.00015007994079496711,0.43751955032348633,73588,16992,-0.6138251,5050,3,72.0,236
0.0003,0.0004299395368434489,0.43915116786956787,73876,17280,-0.61327442,5135,3,72.0,240
