time/total_timesteps,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/loss
120288,24249,4,0.6030496,168.0,716,-3.2974741399999994,0.001,59640,2836521.625
120960,24390,4,0.600832,168.0,720,-3.24602753,0.001,59976,3602698.125
121632,24541,4,0.5986144,168.0,724,-3.18959974,0.001,60312,4417892.0625
122304,24692,4,0.5963968000000001,168.0,728,-3.08749123,0.001,60648,2782004.96875
122976,24829,4,0.5941792000000001,168.0,732,-3.1405130800000007,0.001,60984,3520184.75
123648,24981,4,0.5919616000000001,168.0,736,-3.16658065,0.001,61320,3012036.8125
124320,25127,4,0.589744,168.0,740,-3.1283887600000004,0.001,61656,3391473.125
124992,25267,4,0.5875264,168.0,744,-3.15297682,0.001,61992,2870340.625
125664,25410,4,0.5853088,168.0,748,-3.1578564400000007,0.001,62328,3274678.25
126336,25556,4,0.5830911999999999,168.0,752,-3.1901230299999996,0.001,62664,3416916.6875
127008,25707,4,0.5808736,168.0,756,-3.16166654,0.001,63000,3813517.25
127680,25852,4,0.5786559999999998,168.0,760,-3.1890682800000003,0.001,63336,3788897.1875
128352,26002,4,0.5764384,168.0,764,-3.22575009,0.001,63672,3955060.875
129024,26143,4,0.5742207999999999,168.0,768,-3.2893307199999997,0.001,64008,3430635.1875
129696,26290,4,0.5720031999999999,168.0,772,-3.2871734100000003,0.001,64344,3246388.125
130368,26425,4,0.5697855999999999,168.0,776,-3.3433543199999995,0.001,64680,3548842.875
131040,26573,4,0.567568,168.0,780,-3.3202025600000007,0.001,65016,3325522.0
131712,26720,4,0.5653504,168.0,784,-3.3056739900000003,0.001,65352,3668551.5625
132384,26859,4,0.5631328,168.0,788,-3.277497080000001,0.001,65688,2977832.6875
133056,27009,4,0.5609152,168.0,792,-3.2939457400000003,0.001,66024,2939446.328125
133728,27157,4,0.5586975999999999,168.0,796,-3.1678247799999992,0.001,66360,3164148.75
134400,27297,4,0.5564800000000001,168.0,800,-3.2192628800000005,0.001,66696,2928949.1875
135072,27443,4,0.5542624,168.0,804,-3.2757454500000005,0.001,67032,4405586.875
135744,27578,4,0.5520448,168.0,808,-3.2382601400000004,0.001,67368,2875701.5
136416,27713,4,0.5498272000000001,168.0,812,-3.37450668,0.001,67704,2799269.375
137088,27866,4,0.5476095999999999,168.0,816,-3.34370453,0.001,68040,3896478.4375
137760,28009,4,0.5453920000000001,168.0,820,-3.38644451,0.001,68376,3536953.1875
138432,28160,4,0.5431744,168.0,824,-3.3690881900000007,0.001,68712,4027532.8125
139104,28296,4,0.5409568,168.0,828,-3.4361897800000003,0.001,69048,3092388.78125
139776,28445,4,0.5387392,168.0,832,-3.3642845499999994,0.001,69384,3376790.9375
140448,28596,4,0.5365215999999999,168.0,836,-3.2647324499999995,0.001,69720,4691924.1875
141120,28743,4,0.5343039999999999,168.0,840,-3.2505037399999996,0.001,70056,4697028.0
141792,28890,4,0.5320863999999998,168.0,844,-3.2340453999999994,0.001,70392,4069580.25
142464,29026,4,0.5298687999999998,168.0,848,-3.2467777300000007,0.001,70728,3918951.75
143136,29175,4,0.5276511999999998,168.0,852,-3.25838848,0.001,71064,3659619.1875
143808,29319,4,0.5254336000000001,168.0,856,-3.21549119,0.001,71400,4262803.875
144480,29470,4,0.5232159999999999,168.0,860,-3.21494866,0.001,71736,3695093.375
145152,29601,4,0.5209984000000001,168.0,864,-3.24627666,0.001,72072,3320453.25
145824,29743,4,0.5187807999999999,168.0,868,-3.2564218200000004,0.001,72408,4072665.25
146496,29886,4,0.5165632,168.0,872,-3.2986794300000004,0.001,72744,2678714.0
147168,30030,4,0.5143456000000002,168.0,876,-3.2327473499999995,0.001,73080,2726354.46875
147840,30180,4,0.512128,168.0,880,-3.2574812599999996,0.001,73416,3473053.125
148512,30329,4,0.5099104000000001,168.0,884,-3.2940270099999993,0.001,73752,3349234.0
149184,30474,4,0.5076928,168.0,888,-3.39511111,0.001,74088,2946846.28125
149856,30614,4,0.5054752,168.0,892,-3.4170397099999996,0.001,74424,2525000.4375
150528,30760,4,0.5032576,168.0,896,-3.5100701100000005,0.001,74760,3053776.6875
151200,30906,4,0.50104,168.0,900,-3.5296323900000006,0.001,75096,3154488.5
151872,31049,4,0.4988224,168.0,904,-3.4881585700000004,0.001,75432,2047723.6875
152544,31194,4,0.49660479999999985,168.0,908,-3.45376556,0.001,75768,2482395.40625
153216,31340,4,0.4943871999999999,168.0,912,-3.32951789,0.001,76104,3511541.75
153888,31486,4,0.4921695999999999,168.0,916,-3.3367586800000004,0.001,76440,3258713.03125
154560,31636,4,0.48995199999999994,168.0,920,-3.313604920000001,0.001,76776,2478689.65625
155232,31779,4,0.4877343999999998,168.0,924,-3.36013058,0.001,77112,2715417.6875
155904,31917,4,0.4855168000000001,168.0,928,-3.3732322700000004,0.001,77448,2822441.25
156576,32067,4,0.48329920000000004,168.0,932,-3.3323559099999995,0.001,77784,2971647.6875
157248,32202,4,0.4810816,168.0,936,-3.4317444199999994,0.001,78120,2726570.40625
157920,32347,4,0.47886399999999996,168.0,940,-3.45491305,0.001,78456,3362660.875
158592,32496,4,0.4766463999999999,168.0,944,-3.5178297099999996,0.001,78792,2520975.125
159264,32641,4,0.4744288000000001,168.0,948,-3.5062242100000005,0.001,79128,2751157.0625
159936,32785,4,0.47221120000000005,168.0,952,-3.4600466400000003,0.001,79464,2654481.0
160608,32917,4,0.4699936000000001,168.0,956,-3.5332818699999997,0.001,79800,3146933.25
161280,33066,4,0.4677760000000001,168.0,960,-3.55231462,0.001,80136,2757504.125
161952,33205,4,0.46555840000000004,168.0,964,-3.5274676699999996,0.001,80472,2971612.03125
162624,33357,4,0.4633408,168.0,968,-3.5285858500000002,0.001,80808,2087836.59375
163296,33498,4,0.46112319999999996,168.0,972,-3.5736714899999997,0.001,81144,2777294.5625
163968,33641,4,0.4589056,168.0,976,-3.6192846399999996,0.001,81480,2875984.3125
164640,33794,4,0.45668799999999987,168.0,980,-3.57975845,0.001,81816,2066459.78125
165312,33939,4,0.45447039999999994,168.0,984,-3.54980559,0.001,82152,2762936.1875
165984,34079,4,0.4522527999999999,168.0,988,-3.4855164199999997,0.001,82488,2323256.4375
166656,34231,4,0.45003519999999997,168.0,992,-3.4378931999999995,0.001,82824,2175254.3125
167328,34372,4,0.4478175999999998,168.0,996,-3.407302299999999,0.001,83160,2789467.9375
168000,34515,4,0.4455999999999999,168.0,1000,-3.34726875,0.001,83496,2142622.0625
168672,34659,4,0.44338240000000007,168.0,1004,-3.41519407,0.001,83832,2514033.4375
169344,34803,4,0.4411647999999999,168.0,1008,-3.4437698599999997,0.001,84168,2389453.78125
170016,34952,4,0.4389472,168.0,1012,-3.4815980099999995,0.001,84504,2411946.46875
170688,35090,4,0.43672959999999994,168.0,1016,-3.58795491,0.001,84840,2415843.6875
171360,35236,4,0.434512,168.0,1020,-3.5930960599999997,0.001,85176,1923603.40625
172032,35386,4,0.4322944000000001,168.0,1024,-3.6546526300000006,0.001,85512,2160499.5
172704,35533,4,0.43007680000000015,168.0,1028,-3.6835911799999996,0.001,85848,2257194.09375
173376,35682,4,0.4278592000000001,168.0,1032,-3.7111838699999997,0.001,86184,2430348.84375
174048,35828,4,0.42564159999999995,168.0,1036,-3.68950419,0.001,86520,3240504.1875
174720,35974,4,0.423424,168.0,1040,-3.6648734900000006,0.001,86856,2548843.6875
175392,36123,4,0.4212064,168.0,1044,-3.6163334600000003,0.001,87192,3512650.5625
176064,36260,4,0.41898880000000005,168.0,1048,-3.6231843799999996,0.001,87528,2325704.78125
176736,36404,4,0.4167711999999999,168.0,1052,-3.6434088599999996,0.001,87864,2846189.875
177408,36544,4,0.41455359999999997,168.0,1056,-3.6338189299999994,0.001,88200,2592527.0625
178080,36685,4,0.4123359999999999,168.0,1060,-3.69774012,0.001,88536,2762367.8125
178752,36826,4,0.4101184,168.0,1064,-3.70304884,0.001,88872,2587680.875
179424,36973,4,0.40790079999999984,168.0,1068,-3.6434789099999993,0.001,89208,2495273.40625
180096,37121,4,0.4056831999999998,168.0,1072,-3.65564838,0.001,89544,2145998.65625
180768,37271,4,0.40346559999999987,168.0,1076,-3.6085505600000003,0.001,89880,2236643.28125
181440,37423,4,0.40124799999999994,168.0,1080,-3.6391208200000005,0.001,90216,2407943.9375
182112,37577,4,0.3990304,168.0,1084,-3.67083728,0.001,90552,2447002.0625
182784,37733,4,0.39681279999999997,168.0,1088,-3.703423310000001,0.001,90888,2266503.03125
183456,37888,4,0.39459520000000003,168.0,1092,-3.7348898800000008,0.001,91224,2222762.4375
184128,38042,4,0.3923776000000001,168.0,1096,-3.74341644,0.001,91560,2704729.78125
184800,38204,4,0.39016000000000006,168.0,1100,-3.732638949999999,0.001,91896,2217044.6875
185472,38362,4,0.38794240000000013,168.0,1104,-3.66913437,0.001,92232,2198840.1875
186144,38520,4,0.3857248,168.0,1108,-3.71140718,0.001,92568,2164463.4375
186816,38673,4,0.38350720000000005,168.0,1112,-3.68242394,0.001,92904,2023332.625
187488,38830,4,0.3812896,168.0,1116,-3.6561757999999998,0.001,93240,2358724.90625
188160,38984,4,0.3790720000000001,168.0,1120,-3.64025509,0.001,93576,2395230.25
188832,39136,4,0.3768543999999999,168.0,1124,-3.6099201000000005,0.001,93912,2127025.09375
189504,39297,4,0.3746368,168.0,1128,-3.5373644,0.001,94248,1710794.125
