rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
0.9610336,164,-22.73081929,5,11808,2034,72.0,5400,97492.169921875,0.001
0.9600832,168,-22.50103309,5,12096,2086,72.0,5544,135313.103515625,0.001
0.9591328,172,-22.608938660000003,5,12384,2136,72.0,5688,102722.23046875,0.001
0.9581824,176,-22.516869169999996,5,12672,2184,72.0,5832,127028.86328125,0.001
0.9572320000000001,180,-22.20857231,5,12960,2233,72.0,5976,135138.5390625,0.001
0.9562816000000001,184,-22.235693419999997,5,13248,2285,72.0,6120,124321.53125,0.001
0.9553312,188,-22.274492570000003,5,13536,2332,72.0,6264,194198.421875,0.001
0.9543808,192,-22.513952829999994,5,13824,2382,72.0,6408,115626.662109375,0.001
0.9534304,196,-22.394253040000002,5,14112,2429,72.0,6552,121391.630859375,0.001
0.9524799999999999,200,-22.071340649999996,5,14400,2478,72.0,6696,120490.84375,0.001
0.9515296000000001,204,-21.773777850000002,5,14688,2530,72.0,6840,112445.888671875,0.001
0.9505792000000001,208,-21.72003622,5,14976,2580,72.0,6984,126341.041015625,0.001
0.9496288,212,-21.82141607,5,15264,2627,72.0,7128,131397.775390625,0.001
0.9486783999999999,216,-21.902695150000003,5,15552,2675,72.0,7272,133231.53125,0.001
0.9477279999999999,220,-21.827751350000003,5,15840,2725,72.0,7416,133000.501953125,0.001
0.9467776000000001,224,-21.822443679999996,5,16128,2773,72.0,7560,132969.10546875,0.001
0.9458272000000001,228,-21.724078589999994,5,16416,2821,72.0,7704,133073.125,0.001
0.9448768,232,-21.574171609999993,5,16704,2875,72.0,7848,118936.92578125,0.001
0.9439263999999999,236,-21.4787212,5,16992,2924,72.0,7992,141801.55078125,0.001
0.9429759999999999,240,-21.61782104,5,17280,2975,72.0,8136,148509.333984375,0.001
0.9420255999999999,244,-21.597319759999994,5,17568,3029,72.0,8280,128299.23828125,0.001
0.9410752,248,-21.732572330000004,5,17856,3081,72.0,8424,129624.29296875,0.001
